
---------------------------------------------------------------------------
show ip arp
---------------------------------------------------------------------------
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.3.10.3               -   000f.3514.0800  ARPA   Vlan1
Internet  10.3.10.2             118   000f.3514.f400  ARPA   Vlan1
Internet  10.3.10.1             131   0000.0c07.ac00  ARPA   Vlan1
Internet  10.1.3.1                -   0000.0c07.ac00  ARPA   Vlan200
Internet  10.1.3.6                -   000f.3514.0800  ARPA   Vlan200
Internet  10.224.40.210          96   000f.3514.f400  ARPA   Vlan346
Internet  10.224.40.211           -   000f.3514.0800  ARPA   Vlan346
Internet  10.224.40.209           -   0000.0c07.ac00  ARPA   Vlan346
Internet  10.224.40.222          96   ec44.76d9.b443  ARPA   Vlan346
Internet  10.226.12.200           0   Incomplete      ARPA   
Internet  10.107.3.3              -   000f.3514.0800  ARPA   Vlan703
Internet  10.107.3.1              -   0000.0c07.ac00  ARPA   Vlan703
Internet  10.109.2.1              -   0000.0c07.ac00  ARPA   Vlan92
Internet  10.109.2.3              -   000f.3514.0800  ARPA   Vlan92
Internet  10.109.2.2            132   000f.3514.f400  ARPA   Vlan92
Internet  10.3.10.110           131   000f.3420.b480  ARPA   Vlan1
Internet  10.224.40.66          126   000f.3514.f400  ARPA   Vlan336
Internet  10.224.40.67            -   000f.3514.0800  ARPA   Vlan336
Internet  10.224.40.65            -   0000.0c07.ac00  ARPA   Vlan336
Internet  10.224.40.70          126   d009.c8ad.27e6  ARPA   Vlan336
Internet  10.224.40.68          126   ec01.d573.f532  ARPA   Vlan336
Internet  10.224.40.69          106   c45a.b1b4.9a09  ARPA   Vlan336
Internet  10.224.40.74            1   14a9.d074.a58c  ARPA   Vlan336
Internet  10.224.40.75            1   14a9.d074.960c  ARPA   Vlan336
Internet  10.224.40.73          176   78ac.4463.a9a0  ARPA   Vlan336
Internet  10.224.40.78          126   14a9.d074.a58c  ARPA   Vlan336
Internet  10.224.40.76          126   14a9.d074.a58c  ARPA   Vlan336
Internet  10.226.58.66          132   000f.3514.f400  ARPA   Vlan292
Internet  10.226.58.67            -   000f.3514.0800  ARPA   Vlan292
Internet  10.226.58.65            -   0000.0c07.ac00  ARPA   Vlan292
Internet  10.226.58.68          140   001b.2a2f.7ac1  ARPA   Vlan292
Internet  10.226.58.69          133   3037.a60f.09c1  ARPA   Vlan292
Internet  10.107.3.254           60   0018.fe7e.03b0  ARPA   Vlan703
Internet  10.107.3.253          141   d009.c8ad.27ea  ARPA   Vlan703
Internet  10.224.17.83            -   000f.3514.0800  ARPA   Vlan327
Internet  10.224.17.82          131   000f.3514.f400  ARPA   Vlan327
Internet  10.224.17.81            -   0000.0c07.ac00  ARPA   Vlan327
Internet  10.224.41.10          121   0017.5ad9.9dff  ARPA   GigabitEthernet1/41
Internet  10.224.41.9             -   000f.3514.0800  ARPA   GigabitEthernet1/41
Internet  10.224.41.14          218   0017.5ad9.9dbf  ARPA   GigabitEthernet1/42
Internet  10.224.41.13            -   000f.3514.0800  ARPA   GigabitEthernet1/42
Internet  10.224.41.22           12   8478.ac0d.1b44  ARPA   Port-channel100
Internet  10.224.41.21            -   000f.3514.0800  ARPA   Port-channel100
Internet  10.224.51.1           131   0000.0c07.ac00  ARPA   Vlan360
Internet  10.226.63.13            -   000f.3514.0800  ARPA   GigabitEthernet5/1
Internet  10.224.51.3             -   000f.3514.0800  ARPA   Vlan360
Internet  10.224.51.2           138   000f.3514.f400  ARPA   Vlan360
Internet  10.226.12.1           131   0000.0c07.ac00  ARPA   Vlan314
Internet  10.226.12.2             0   000f.3514.f400  ARPA   Vlan314
Internet  10.226.12.3             -   000f.3514.0800  ARPA   Vlan314
Internet  10.224.17.19            -   000f.3514.0800  ARPA   Vlan325
Internet  10.224.17.18          131   000f.3514.f400  ARPA   Vlan325
Internet  10.224.17.17          131   0000.0c07.ac00  ARPA   Vlan325
Internet  10.224.17.3             -   000f.3514.0800  ARPA   Vlan324
Internet  10.224.17.2           131   000f.3514.f400  ARPA   Vlan324
Internet  10.3.10.249           131   005f.86fb.d3c0  ARPA   Vlan1
Internet  10.224.17.1             -   0000.0c07.ac00  ARPA   Vlan324
---------------------------------------------------------------------------

